 Power, Latitude, Longitude
-78,21.137684,72.762161
-68,21.137684,72.762161
-68,21.137703,72.762253
-70,21.137703,72.762253
-68,21.137726,72.762344
-72,21.137726,72.762344
-70,21.137726,72.762344
-72,21.137726,72.762344
-72,21.137726,72.762344
-74,21.137726,72.762344
-70,21.137726,72.762344
-64,21.137726,72.762344
-62,21.137726,72.762344
-66,21.137726,72.762344
-80,21.137726,72.762344
-66,21.137745,72.762436
-68,21.137745,72.762436
-72,21.137745,72.762436
-72,21.137745,72.762436
-72,21.137745,72.762436
-72,21.137745,72.762436
-74,21.137745,72.762436
-16,21.137745,72.762436
-72,21.137745,72.762436
-64,21.137745,72.762436
-78,21.137745,72.762436
-72,21.137745,72.762436
-70,21.137745,72.762436
-16,21.137745,72.762436
-68,21.137745,72.762436
-72,21.137745,72.762436
-74,21.137745,72.762436
-56,21.137766,72.762527
-72,21.137808,72.762718
-74,21.137808,72.762718
-68,21.137808,72.762718
-64,21.137808,72.762718
-66,21.137808,72.762718
-70,21.137808,72.762718
-58,21.137808,72.762718
-76,21.137833,72.762817
-64,21.137833,72.762817
-70,21.137833,72.762817
-70,21.137833,72.762817
-14,21.137833,72.762817
-76,21.137833,72.762817
-72,21.137833,72.762817
-72,21.137833,72.762817
-74,21.137833,72.762817
-70,21.137833,72.762817
-72,21.137833,72.762817
-72,21.137833,72.762817
-72,21.137833,72.762817
-16,21.137833,72.762817
-68,21.137833,72.762817
-70,21.137833,72.762817
-70,21.137833,72.762817
-16,21.137833,72.762817
-68,21.137857,72.762924
-74,21.137882,72.763031
-70,21.137882,72.763031
-74,21.137882,72.763031
-70,21.137882,72.763031
-74,21.137882,72.763031
-60,21.137882,72.763031
-72,21.137882,72.763031
-68,21.137905,72.763138
-70,21.137905,72.763138
-70,21.137905,72.763138
-76,21.137905,72.763138
-64,21.137905,72.763138
-74,21.137905,72.763138
-66,21.137905,72.763138
-64,21.137905,72.763138
-60,21.137928,72.763237
-64,21.137928,72.763237
-74,21.137928,72.763237
-16,21.137928,72.763237
-18,21.137928,72.763237
-18,21.137928,72.763237
-66,21.137928,72.763237
-68,21.137951,72.763344
-68,21.137951,72.763344
-20,21.137972,72.763443
-20,21.137972,72.763443
-76,21.137991,72.76355
-74,21.137991,72.76355
-68,21.137991,72.76355
-66,21.137991,72.76355
-74,21.137991,72.76355
-66,21.137991,72.76355
-76,21.137991,72.76355
-16,21.138016,72.763641
-74,21.138016,72.763641
-68,21.138016,72.763641
-16,21.138016,72.763641
-74,21.138016,72.763641
-72,21.138016,72.763641
-62,21.138016,72.763641
-62,21.138037,72.763733
-78,21.138037,72.763733
-70,21.138037,72.763733
-76,21.138037,72.763733
-76,21.138037,72.763733
-70,21.138056,72.763824
-72,21.138075,72.763908
-76,21.138075,72.763908
-78,21.138075,72.763908
-76,21.138075,72.763908
-72,21.138075,72.763908
-14,21.138094,72.764
-16,21.138094,72.764
-62,21.138094,72.764
-66,21.138094,72.764
-16,21.138094,72.764
-66,21.138094,72.764
-64,21.138094,72.764
-70,21.138094,72.764
-74,21.138094,72.764
-72,21.138094,72.764
-74,21.138094,72.764
-74,21.138094,72.764
-72,21.138111,72.764076
